"","Basal.Correlation","Luminal.Correlation","BASE47.Subtype"
"BBN963_MP1_rep_1_cpm",9.66337526509869e-05,0.999903366247349,"Luminal"
"BBN963_MP1_rep_2_cpm",0.000159656765643319,0.999840343234357,"Luminal"
"BBN963_MP1_rep_3_cpm",0.000371418368047192,0.999628581631953,"Luminal"
"UPPL1541_PARENTAL_rep_1_cpm",0.99895103477876,0.00104896522124014,"Basal"
"UPPL1541_PARENTAL_rep_2_cpm",0.997914729026209,0.00208527097379085,"Basal"
"UPPL1541_PARENTAL_rep_3_cpm",0.99838194699542,0.00161805300458055,"Basal"
"UPPL1541_MP1_rep_1_cpm",0.999531031898984,0.000468968101016429,"Basal"
"UPPL1541_MP1_rep_2_cpm",0.999524732128361,0.000475267871639098,"Basal"
"UPPL1541_MP1_rep_3_cpm",0.999765273921476,0.000234726078523989,"Basal"
"BBN963_PARENTAL_rep_1_cpm",0.00799311698692776,0.992006883013072,"Luminal"
"BBN963_PARENTAL_rep_2_cpm",0.000537443265399751,0.9994625567346,"Luminal"
"BBN963_PARENTAL_rep_3_cpm",0.000384984508232993,0.999615015491767,"Luminal"
