	WYK3299	WYK3300	WYK3301	WYK3302	WYK3305	WYK3307	WYK3308	WYK3311	WYK3313	WYK3314	WYK3320	WYK3325	WYK3327	WYK3329	WYK3331	WYK3333	WYK3336	WYK3338	WYK3339	WYK3340	WYK3341	WYK3343	WYK3344	WYK3346	WYK3347	WYK3349	WYK3350	WYK3352	WYK3354	WYK3355	WYK3356	WYK3357	WYK3359	WYK3360	WYK3361	WYK3362	WYK3363	WYK3364	WYK3366	WYK3367	WYK3369	WYK3371	WYK3372	WYK3373	WYK3374	WYK3375	WYK3376	WYK3377	WYK3379	WYK3381	WYK3382	WYK3383	WYK3384	WYK3385	WYK3386
ALOX5AP	-1.374366	-0.049505	-0.932951	-7.16271	-1.299204	-0.636905	-3.748309	-2.72162	-1.375828	-0.606053	-0.857044	1.100048	1.670482	-0.018172	-0.417766	1.466472	0.415403	0.283962	-0.506814	-3.988261	0.868953	1.612301	0.224816	0.970454	0.592124	0.58261	0.072427	1.005313	1.24901	-0.744242	0	-0.66546	-1.759387	0.435157	0.077213	-0.157248	-0.298375	-1.393866	0.064228	0.67982	0.742896	0.122824	-0.326417	-1.101324	0.530099	-0.261775	-0.922374	0.118302	0.1242	-0.622327	0.680961	0.528744	0.567536	0.027985	-1.582498
BHMT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAPN5	-2.96996	-1.335467	-0.742143	-0.102478	0.152689	1.691336	1.142939	1.698666	-0.747958	-3.944577	-1.544808	-0.039137	-0.011298	1.062107	3.737937	-1.463934	-1.840474	0.870733	-0.46625	1.668021	-0.225643	0.210728	-0.987137	0.39628	0.586185	1.957107	-1.505378	-0.30752	-0.703566	1.510695	2.274173	-1.766813	-0.99956	0.704864	0.196662	-0.393976	-0.212849	2.708162	0.359732	-0.273047	0.308628	-0.653748	-0.019761	0	-3.40057	0.269465	1.645995	0.395454	-1.366817	1.740869	1.103424	-2.958169	1.338262	0.780561	1.418831
CD14	-3.499621	-0.903458	0.574648	-0.993518	-2.882293	-0.277449	-4.437107	1.107215	0.560064	-1.848106	-1.815896	1.186998	-4.64767	1.032967	1.285753	0.502566	-0.284004	-1.150954	-0.307823	1.015966	1.569486	1.852312	1.343372	-1.303308	0.91457	0.033214	-0.163006	1.297898	1.486502	-1.267981	0.530844	-0.582656	-1.121685	1.391693	-0.162625	0.176314	-1.082331	-0.744248	-1.890712	0.744645	0	-0.326968	-1.642613	-0.317242	0.271227	-0.145589	-0.057308	-0.372446	1.083499	0.014645	1.464103	0.005624	1.323348	0.169262	2.746625
CDK6	-2.327401	1.186854	-0.137868	-0.347154	-0.368263	-0.300414	2.322633	0.08154	-0.813534	0.847116	-1.72054	0.50532	3.771668	1.07562	1.002921	1.123658	1.425156	-1.00786	-0.64837	0.622399	-0.040688	2.85771	1.31688	-0.25941	0.368703	-0.520266	1.89701	0.67665	1.811716	-0.03008	-0.023861	1.007065	-0.558128	-0.099638	-0.192691	1.597743	0.712495	-2.018363	-0.115645	0.624084	-0.105228	-0.177657	-0.936252	-0.435526	1.130066	0	0.672489	-0.73419	-0.316916	-0.234062	0.411612	0.977484	-0.347365	0.101366	2.936298
CYP2J2	-0.674695	-1.938376	0.940147	-1.353736	-1.323127	0.067546	1.301667	-0.096071	-4.633601	0.448026	-3.025485	-3.980876	0.636587	2.73145	1.632208	-0.51022	-0.49493	1.80646	1.326042	2.229174	0.752672	0.469983	1.224605	-1.097682	-3.793047	1.925858	-0.471122	-1.667518	0.477531	3.347985	4.347129	3.663708	0.068196	-1.113618	-2.093918	-0.104309	-0.043996	2.00801	-0.424955	-0.051139	-0.756478	-1.929737	0.374026	-1.948185	0.977973	-0.310789	0.906328	1.065739	-1.471126	0.387133	-2.090513	-0.420927	0.008046	0	1.532571
CYP4B1	-4.848821	-2.44977	1.051424	-2.516197	-2.596622	-1.062318	1.43793	0.514953	-2.843614	-0.496631	-2.041723	-2.229334	-0.428458	2.331524	-0.941186	-4.390372	-3.246576	2.090009	1.585476	2.558711	-3.108603	1.269453	-2.053491	0.29503	0.667894	1.424776	-1.970861	0.474475	0.517907	-0.836323	1.170593	-2.760422	-1.491904	-0.71266	2.662483	2.66362	2.076475	3.340706	2.122318	-0.9498	1.648102	-2.522587	2.013182	-2.236181	-0.869121	0.135266	2.391095	0.134367	-1.858651	2.161681	0	-4.17841	3.790017	-2.38263	0.344743
EMP3	-3.223851	-1.470639	-0.94488	-7.86114	0.103167	-0.335336	-0.817381	-2.920119	0.864341	-0.94667	-10.073473	0.659416	-4.168663	-0.097346	-0.624343	0.597312	0.914379	-0.107474	0.047324	0.620741	0	-0.659118	0.162205	1.109967	0.686461	-0.007114	0.728839	0.693906	-0.41663	-0.637661	0.729176	-1.216613	-1.567047	0.807777	-4.026551	0.847861	-0.430378	-1.847738	0.125847	0.16879	0.22798	0.249739	0.342362	0.143399	-1.353299	0.802645	-0.17602	0.202885	-0.722075	0.770943	0.179833	-0.368231	0.353923	0.065033	-0.079294
FAP	-2.38951	0.821414	1.199334	1.026433	-0.814778	-0.204151	-2.890423	-0.635175	-1.025294	-0.628587	-2.888323	1.839355	-6.270912	0.980767	-2.729806	1.102706	0	-0.509341	0.354338	-0.80631	1.201151	-0.410233	1.756871	-3.789046	1.475125	1.386529	1.324858	-0.049872	-2.505973	1.423865	0.61733	1.400838	0.092761	2.528149	-2.296062	-0.446928	0.986097	0.105842	-0.00999	-0.493307	-1.277571	1.406536	-0.202661	0.872261	-0.194984	-0.501059	-0.72422	0.360574	0.870304	0.585007	1.250908	2.139486	-0.926215	1.595813	-2.553502
FBP1	1.634504	-1.420088	-3.205609	0.624844	0	0.539854	1.525225	1.161696	-1.472077	-1.472446	-3.325755	-1.433139	-0.734667	-0.431314	1.293086	-1.483011	-2.023584	2.699027	0.508327	1.097273	0.735558	0.354141	0.55402	-0.657301	-0.188178	0.842656	-1.861854	2.927691	-0.371436	1.011141	1.069757	-1.799169	-2.775273	-0.296935	0.091242	0.978943	-0.616965	-0.09955	1.316539	-0.362612	1.426979	-0.899859	-1.597178	-1.266048	-1.244517	-0.307527	2.383288	0.498685	0.714037	0.821904	-0.051131	-0.955661	1.359377	0.389468	0.340761
GATA3	1.946619	-0.508127	-1.276212	-0.76396	-2.191071	1.789298	1.258973	0.330152	-4.443428	-1.677388	-10.430259	1.134671	-2.060415	1.686449	0.407622	1.909773	-0.924008	0.62806	0.836583	0.752674	-1.598825	-0.334854	-1.247665	-1.226781	-1.414258	0.387249	0	0.29478	-0.757295	2.790619	0.646703	0.785785	-0.143076	-0.538046	1.843407	0.845218	0.827208	0.569455	1.833076	-0.253489	0.450357	-2.110259	-0.373813	-3.378205	-0.993681	0.74323	1.345067	0.615185	0.327719	-0.069521	-2.330698	-2.413462	-1.412825	1.027692	-1.405053
HMGCS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSN	-3.514814	-0.51341	0	-0.668634	0.302157	-0.327117	-0.912332	0.335074	1.270496	-0.222638	-1.40107	0.573716	-0.255265	1.220941	0.533016	-0.520988	0.036704	-0.613454	-0.860949	0.92184	0.2668	1.341496	0.645819	0.722016	0.211708	-0.352534	-0.00744	0.845281	1.513495	-0.836043	0.252199	-1.258474	-0.360239	0.341451	-0.369962	0.339025	-0.494655	-2.016746	-0.468062	0.98698	0.418386	0.479667	-0.81194	-0.181468	1.041995	-0.303393	-0.273394	-0.921318	0.675838	-0.27411	0.939714	0.706085	0.574451	-0.297125	0.891754
