	WYK3299	WYK3300	WYK3301	WYK3302	WYK3305	WYK3307	WYK3308	WYK3311	WYK3313	WYK3314	WYK3320	WYK3325	WYK3329	WYK3331	WYK3333	WYK3336	WYK3338	WYK3339	WYK3340	WYK3341	WYK3343	WYK3346	WYK3347	WYK3349	WYK3350	WYK3352	WYK3354	WYK3355	WYK3356	WYK3357	WYK3359	WYK3360	WYK3361	WYK3362	WYK3363	WYK3364	WYK3366	WYK3367	WYK3369	WYK3371	WYK3372	WYK3373	WYK3374	WYK3375	WYK3376	WYK3377	WYK3379	WYK3381	WYK3382	WYK3383	WYK3384	WYK3385
ALOX5AP	-1.3652805	-0.040419	-0.923865	-7.153624	-1.290118	-0.627819	-3.739223	-2.712533667	-1.366742	-0.596967	-0.8479576	1.109134	-0.00908599999999993	-0.40868	1.475558	0.424488999999999	0.293048000000001	-0.497728	-3.979175	0.878038999999999	1.621387	0.97954	0.60121	0.591696000000001	0.0815129999999993	1.014399	1.258096	-0.735156	0.00908599999999993	-0.656374	-1.750301	0.444243	0.0862990000000003	-0.1481618	-0.289289	-1.38478	0.0733139999999999	0.688905999999999	0.751982	0.13191	-0.317331	-1.092238	0.539185	-0.252689	-0.913288	0.127388	0.133286	-0.613241	0.690047	0.53783	0.576622	0.037071000000001
BHMT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAPN5	-3.0463045	-1.4118118	-0.8184875	-0.178822500000001	0.0763444999999994	1.6149915	1.0665945	1.6223215	-0.8243025	-4.0209215	-1.6211525	-0.1154815	0.9857625	3.6615925	-1.5402785	-1.9168185	0.7943885	-0.5425945	1.5916765	-0.301987499999999	0.1343835	0.3199355	0.509840499999999	1.8807625	-1.5817225	-0.3838645	-0.7799105	1.4343505	2.1978285	-1.8431575	-1.0759045	0.6285195	0.120317500000001	-0.4703205	-0.2891935	2.6318175	0.2833875	-0.349391499999999	0.232283499999999	-0.7300925	-0.0961055000000002	-0.0763444999999994	-3.4769145	0.193120499999999	1.5696505	0.3191095	-1.4431615	1.6645245	1.0270795	-3.0345135	1.2619175	0.704216499999999
CD14	-3.470967	-0.874803999999999	0.603302000000001	-0.964863999999999	-2.853639	-0.248794999999999	-4.408453	1.135869	0.588718000000002	-1.819452	-1.787242	1.215652	1.061621	1.314407	0.531220000000001	-0.255349999999999	-1.1223	-0.279168999999999	1.04462	1.59814	1.880966	-1.274654	0.943224000000001	0.0618680000000005	-0.134351999999998	1.326552	1.515156	-1.239327	0.559498000000001	-0.554001999999999	-1.093031	1.420347	-0.133970999999999	0.204968000000001	-1.053677	-0.715593999999999	-1.862058	0.773299000000002	0.0286540000000013	-0.298313999999999	-1.613959	-0.288587999999999	0.299881000000001	-0.116934999999998	-0.0286539999999995	-0.343791999999999	1.112153	0.0432990000000011	1.492757	0.0342780000000005	1.352002	0.197916000000001
CDK6	-2.3004305	1.2138245	-0.1108975	-0.320183500000001	-0.341292500000001	-0.273443500000001	2.3496035	0.1085105	-0.786563500000001	0.874086499999999	-1.6935695	0.532290499999998	1.1025905	1.0298915	1.1506285	1.4521265	-0.980889500000001	-0.621399500000001	0.649369499999999	-0.0137175000000003	2.8846805	-0.232439500000002	0.395673499999999	-0.493295500000001	1.9239805	0.7036205	1.8386865	-0.00310950000000076	0.00310949999999899	1.0340355	-0.531157500000001	-0.0726675000000014	-0.165720500000001	1.6247135	0.7394655	-1.9913925	-0.0886745000000015	0.651054499999999	-0.0782575000000012	-0.150686500000001	-0.9092815	-0.408555500000001	1.1570365	0.0269704999999991	0.6994595	-0.707219500000001	-0.289945500000002	-0.207091500000001	0.438582499999999	1.0044545	-0.320394500000001	0.1283365
CYP2J2	-0.627127278000001	-1.890808278	0.987714722	-1.306168278	-1.275559278	0.115113722	1.349234722	-0.0485030279999998	-4.586033278	0.495593722	-2.977917278	-3.933308278	2.779017722	1.679775722	-0.462652278	-0.447362278	1.854027722	1.373609722	2.276741722	0.800239722	0.517550722	-1.050114707	-3.745479278	1.973425722	-0.423554278	-1.619950278	0.525098722	3.395552722	4.394696722	3.711275722	0.115763722	-1.066050578	-2.046350278	-0.0567408780000003	0.00357172200000022	2.055577722	-0.377387278	-0.00357172200000022	-0.708910278	-1.882169278	0.421593722	-1.900617278	1.025540722	-0.263221278	0.953895722	1.113306722	-1.423558278	0.434700722	-2.042945278	-0.373359278000001	0.0556137219999995	0.0475677220000001
CYP4B1	-4.9160045	-2.516953833	0.9842405	-2.5833805	-2.6638055	-1.1295015	1.3707465	0.4477695	-2.9107975	-0.5638145	-2.108907	-2.2965175	2.2643405	-1.0083695	-4.4575555	-3.3137595	2.0228255	1.5182925	2.4915275	-3.1757865	1.2022695	0.2278465	0.6007105	1.3575925	-2.0380445	0.4072915	0.450723999999999	-0.9035065	1.1034095	-2.8276055	-1.5590875	-0.7798435	2.5952995	2.5964365	2.0092915	3.2735225	2.0551345	-1.0169835	1.5809185	-2.5897705	1.9459985	-2.3033645	-0.9363045	0.0680824999999992	2.3239115	0.0671835000000005	-1.9258345	2.0944975	-0.0671835000000005	-4.2455935	3.7228335	-2.4498135
EMP3	-3.247513	-1.494301	-0.968541999999999	-7.884802	0.079505000000001	-0.358998	-0.841042999999999	-2.943781	0.840679	-0.970331999999999	-10.097135	0.635754	-0.121008	-0.648005	0.573650000000001	0.890717	-0.131136	0.0236619999999998	0.597079000000001	-0.0236619999999998	-0.682779999999999	1.086305	0.662799	-0.0307759999999995	0.705177000000001	0.670244	-0.440291999999999	-0.661323	0.705514000000001	-1.240275	-1.590709	0.784115	-4.050212714	0.824199	-0.454039999999999	-1.8714	0.102185	0.145128	0.204318000000001	0.226077	0.3187	0.119737000000001	-1.376961	0.778983	-0.199681999999999	0.179223	-0.745737	0.747281000000001	0.156171	-0.391893	0.330261	0.0413709999999998
FAP	-2.4358905	0.775033499999999	1.1529535	0.980052499999999	-0.861158500000002	-0.250531500000001	-2.9368035	-0.681555500000002	-1.0716745	-0.674967500000001	-2.9347035	1.7929745	0.934386499999999	-2.7761865	1.0563255	-0.0463805000000015	-0.555721500000001	0.307957499999999	-0.852690500000001	1.1547705	-0.456613500000001	-3.8354265	1.4287445	1.3401485	1.2784775	-0.0962525000000003	-2.5523535	1.3774845	0.570949499999999	1.3544575	0.0463804999999997	2.4817685	-2.3424425	-0.493308500000001	0.939716499999999	0.0594614999999994	-0.0563705000000017	-0.539687500000001	-1.3239515	1.3601555	-0.249041500000001	0.825880499999998	-0.241364500000001	-0.547439500000001	-0.7706005	0.314193499999998	0.823923499999999	0.538626499999999	1.2045275	2.0931055	-0.972595500000001	1.5494325
FBP1	1.6600695	-1.3945225	-3.1800435	0.6504095	0.025565499999999	0.565419499999999	1.5507905	1.1872615	-1.4465115	-1.4468805	-3.3001895	-1.4075735	-0.405748500000001	1.3186515	-1.4574455	-1.9980185	2.7245925	0.5338925	1.1228385	0.7611235	0.379706499999999	-0.631735500000001	-0.1626125	0.868221499999999	-1.8362885	2.9532565	-0.3458705	1.0367065	1.0953225	-1.7736035	-2.7497075	-0.2713695	0.1168075	1.0045085	-0.5913995	-0.0739844999999999	1.3421045	-0.337046500000001	1.4525445	-0.8742935	-1.5716125	-1.2404825	-1.2189515	-0.281961500000001	2.4088535	0.524250499999999	0.7396025	0.847469499999999	-0.0255655000000008	-0.9300955	1.3849425	0.4150335
