"Gene","Sample","Contribution","Scaled.Expression","Supports"
"TBX2","BBN963_MP1_rep_1",-0.196697170949357,0.658012311878082,"Luminal"
"TBX2","BBN963_MP1_rep_2",0.424739673864831,-1.29894177041529,"Basal"
"TBX2","BBN963_MP1_rep_3",-0.29728738900575,0.974778914159444,"Luminal"
"TBX2","UPPL1541_PARENTAL_rep_1",-0.0203316802954575,0.102623345499656,"Luminal"
"TBX2","UPPL1541_PARENTAL_rep_2",-0.0987222213648761,0.349481398154797,"Luminal"
"TBX2","UPPL1541_PARENTAL_rep_3",0.542903672909516,-1.67104960766422,"Basal"
"TBX2","UPPL1541_MP1_rep_1",-0.187132345035628,0.627891913844885,"Luminal"
"TBX2","UPPL1541_MP1_rep_2",0.252620635825753,-0.75692522128117,"Basal"
"TBX2","UPPL1541_MP1_rep_3",-0.0898907957337903,0.321670535980393,"Luminal"
"TBX2","BBN963_PARENTAL_rep_1",0.142267839016319,-0.409415481537167,"Basal"
"TBX2","BBN963_PARENTAL_rep_2",0.528353256115961,-1.62522918716481,"Basal"
"TBX2","BBN963_PARENTAL_rep_3",-0.228088366362764,0.756865684549771,"Luminal"
"SCNN1G","BBN963_MP1_rep_1",-0.365378703972788,1.19964475361962,"Luminal"
"SCNN1G","BBN963_MP1_rep_2",-0.363767720877933,1.19491009209148,"Luminal"
"SCNN1G","BBN963_MP1_rep_3",-0.319708456014548,1.0654203991373,"Luminal"
"SCNN1G","UPPL1541_PARENTAL_rep_1",0.0390768872725039,0.0109542367363882,"Basal"
"SCNN1G","UPPL1541_PARENTAL_rep_2",0.0345338457816115,0.0243061855162377,"Basal"
"SCNN1G","UPPL1541_PARENTAL_rep_3",0.0502171365336586,-0.0217868328373514,"Basal"
"SCNN1G","UPPL1541_MP1_rep_1",-0.106497081301335,0.438794523023431,"Luminal"
"SCNN1G","UPPL1541_MP1_rep_2",-0.151154346602147,0.570041732660397,"Luminal"
"SCNN1G","UPPL1541_MP1_rep_3",-0.0847454066173539,0.374866591297802,"Luminal"
"SCNN1G","BBN963_PARENTAL_rep_1",0.105640858886784,-0.184676540873491,"Basal"
"SCNN1G","BBN963_PARENTAL_rep_2",-0.656163406337917,2.05425778317845,"Luminal"
"SCNN1G","BBN963_PARENTAL_rep_3",-0.959898409867893,2.94693160487031,"Luminal"
"TMPRSS2","BBN963_MP1_rep_1",-0.636836708056825,2.00171081905301,"Luminal"
"TMPRSS2","BBN963_MP1_rep_2",-0.637745854612155,2.00456428223485,"Luminal"
"TMPRSS2","BBN963_MP1_rep_3",-0.592784286891343,1.8634471242397,"Luminal"
"TMPRSS2","UPPL1541_PARENTAL_rep_1",0.98320060867827,-3.0829664636282,"Basal"
"TMPRSS2","UPPL1541_PARENTAL_rep_2",1.00256951308368,-3.14375804367593,"Basal"
"TMPRSS2","UPPL1541_PARENTAL_rep_3",1.00373588197831,-3.14741882936309,"Basal"
"TMPRSS2","UPPL1541_MP1_rep_1",0.699703454002725,-2.19317736606064,"Basal"
"TMPRSS2","UPPL1541_MP1_rep_2",0.424158682906025,-1.32834775782632,"Basal"
"TMPRSS2","UPPL1541_MP1_rep_3",0.837520131495628,-2.62573118564487,"Basal"
"TMPRSS2","BBN963_PARENTAL_rep_1",-0.934771349445904,2.93681366337999,"Luminal"
"TMPRSS2","BBN963_PARENTAL_rep_2",-0.733769455116124,2.30594562391146,"Luminal"
"TMPRSS2","BBN963_PARENTAL_rep_3",-0.841998858305064,2.64563631006306,"Luminal"
"FAP","BBN963_MP1_rep_1",0.203647363328658,0.353388814427552,"Basal"
"FAP","BBN963_MP1_rep_2",-0.543163424938081,-0.788500812890728,"Luminal"
"FAP","BBN963_MP1_rep_3",0.165930074136027,0.295718274611721,"Basal"
"FAP","UPPL1541_PARENTAL_rep_1",0.0902034716015538,0.17993068382603,"Basal"
"FAP","UPPL1541_PARENTAL_rep_2",0.0230572113856288,0.0772626194937918,"Basal"
"FAP","UPPL1541_PARENTAL_rep_3",-0.715259962761679,-1.0516400906377,"Luminal"
"FAP","UPPL1541_MP1_rep_1",0.251111858271754,0.425963039777473,"Basal"
"FAP","UPPL1541_MP1_rep_2",-0.196574886602292,-0.258559543842421,"Luminal"
"FAP","UPPL1541_MP1_rep_3",0.225003476178968,0.386042766575467,"Basal"
"FAP","BBN963_PARENTAL_rep_1",0.653959473451429,1.04192563752087,"Basal"
"FAP","BBN963_PARENTAL_rep_2",-0.728875096134643,-1.07245792002287,"Luminal"
"FAP","BBN963_PARENTAL_rep_3",-0.975116282971409,-1.44896594787291,"Luminal"
"PPARG","BBN963_MP1_rep_1",-0.0903773874268183,0.00779181283660239,"Luminal"
"PPARG","BBN963_MP1_rep_2",-0.118435930015631,0.0774960519695809,"Luminal"
"PPARG","BBN963_MP1_rep_3",-0.152211735089788,0.161403360638442,"Luminal"
"PPARG","UPPL1541_PARENTAL_rep_1",-0.10251912085791,0.0379548296038085,"Luminal"
"PPARG","UPPL1541_PARENTAL_rep_2",-0.05885525312391,-0.0705168299048013,"Luminal"
"PPARG","UPPL1541_PARENTAL_rep_3",0.0298808542645429,-0.290958887062843,"Basal"
"PPARG","UPPL1541_MP1_rep_1",-0.0407110904420713,-0.115591339760021,"Luminal"
"PPARG","UPPL1541_MP1_rep_2",0.0188230817949142,-0.263488692769559,"Basal"
"PPARG","UPPL1541_MP1_rep_3",0.071571635636006,-0.39452892050841,"Basal"
"PPARG","BBN963_PARENTAL_rep_1",-0.10225481775208,0.0372982364527544,"Luminal"
"PPARG","BBN963_PARENTAL_rep_2",-0.039732090994295,-0.11802341232412,"Luminal"
"PPARG","BBN963_PARENTAL_rep_3",-0.0509605205857411,-0.0901292642637704,"Luminal"
"TUBB6","BBN963_MP1_rep_1",0.323155578216103,0.354730501028332,"Basal"
"TUBB6","BBN963_MP1_rep_2",0.333138143481966,0.368837217762442,"Basal"
"TUBB6","BBN963_MP1_rep_3",0.282644622348738,0.297483033686126,"Basal"
"TUBB6","UPPL1541_PARENTAL_rep_1",-0.222899544270977,-0.416919343373551,"Luminal"
"TUBB6","UPPL1541_PARENTAL_rep_2",-0.221615747194562,-0.41510516423034,"Luminal"
"TUBB6","UPPL1541_PARENTAL_rep_3",-0.284576682290099,-0.504077492790481,"Luminal"
"TUBB6","UPPL1541_MP1_rep_1",-0.150771541809728,-0.314992707061191,"Luminal"
"TUBB6","UPPL1541_MP1_rep_2",-0.215153869901841,-0.405973656435374,"Luminal"
"TUBB6","UPPL1541_MP1_rep_3",-0.0986406894418999,-0.241324752194375,"Luminal"
"TUBB6","BBN963_PARENTAL_rep_1",0.34785507313768,0.389634232589775,"Basal"
"TUBB6","BBN963_PARENTAL_rep_2",0.188070168073337,0.163836520869586,"Basal"
"TUBB6","BBN963_PARENTAL_rep_3",0.246085721342493,0.245820355119018,"Basal"
"UPK1A","BBN963_MP1_rep_1",-0.159695890226338,0.765093489580283,"Luminal"
"UPK1A","BBN963_MP1_rep_2",-0.0921091357377442,0.51324673703501,"Luminal"
"UPK1A","BBN963_MP1_rep_3",-0.138745930548432,0.687028203700557,"Luminal"
"UPK1A","UPPL1541_PARENTAL_rep_1",0.0684718582953462,-0.0851220139685787,"Basal"
"UPK1A","UPPL1541_PARENTAL_rep_2",0.0882188192721349,-0.1587045973057,"Basal"
"UPK1A","UPPL1541_PARENTAL_rep_3",-0.287137587401096,1.2399761469172,"Luminal"
"UPK1A","UPPL1541_MP1_rep_1",-0.0893071432500175,0.502805745837403,"Luminal"
"UPK1A","UPPL1541_MP1_rep_2",0.282439486365841,-0.88242398070917,"Basal"
"UPK1A","UPPL1541_MP1_rep_3",0.0873734326666135,-0.155554455345832,"Basal"
"UPK1A","BBN963_PARENTAL_rep_1",0.205028947319079,-0.593971117138154,"Basal"
"UPK1A","BBN963_PARENTAL_rep_2",0.519138253800447,-1.76442839652906,"Basal"
"UPK1A","BBN963_PARENTAL_rep_3",0.00952082437981013,0.134545679252579,"Basal"
"GATA3","BBN963_MP1_rep_1",-0.202403730434292,0.205892053986261,"Luminal"
"GATA3","BBN963_MP1_rep_2",-0.22980248761503,0.265104775734416,"Luminal"
