"id","name","Basal.Centroid.Score","Luminal.Centroid.Score","Basal.Direction","Marker.Type"
"AHNAK2","AHNAK2",0.4876,-0.577,1.0646,"Basal"
"EMP3","EMP3",0.4818,-0.5702,1.052,"Basal"
"MT2A","MT2A",0.4722,-0.5588,1.031,"Basal"
"CD14","CD14",0.4568,-0.5405,0.9973,"Basal"
"PRKCDBP","PRKCDBP",0.4558,-0.5394,0.9952,"Basal"
"CHST15","CHST15",0.4535,-0.5366,0.9901,"Basal"
"FAP","FAP",0.4522,-0.535,0.9872,"Basal"
"MT1X","MT1X",0.4521,-0.535,0.9871,"Basal"
"ALOX5AP","ALOX5AP",0.4447,-0.5262,0.9709,"Basal"
"TUBB6","TUBB6",0.4405,-0.5213,0.9618,"Basal"
"PALLD","PALLD",0.4371,-0.5172,0.9543,"Basal"
"PRRX1","PRRX1",0.436,-0.5159,0.9519,"Basal"
"MSN","MSN",0.4285,-0.5071,0.9356,"Basal"
"GLIPR1","GLIPR1",0.4178,-0.4944,0.9122,"Basal"
"PDGFC","PDGFC",0.4095,-0.4846,0.8941,"Basal"
"CDK6","CDK6",0.3893,-0.4606,0.8499,"Basal"
"UPK2","UPK2",-0.3544,0.4194,-0.7738,"Luminal"
"SCNN1B","SCNN1B",-0.3038,0.3595,-0.6633,"Luminal"
"GATA3","GATA3",-0.2918,0.3453,-0.6371,"Luminal"
"SPINK1","SPINK1",-0.2853,0.3376,-0.6229,"Luminal"
"HMGCS2","HMGCS2",-0.2776,0.3285,-0.6061,"Luminal"
"TOX3","TOX3",-0.2702,0.3197,-0.5899,"Luminal"
"BHMT","BHMT",-0.2671,0.3161,-0.5832,"Luminal"
"UPK1A","UPK1A",-0.2532,0.2996,-0.5528,"Luminal"
"PPARG","PPARG",-0.2529,0.2993,-0.5522,"Luminal"
"SEMA5A","SEMA5A",-0.2499,0.2957,-0.5456,"Luminal"
"RAB15","RAB15",-0.2441,0.2889,-0.533,"Luminal"
"SCNN1G","SCNN1G",-0.226,0.2674,-0.4934,"Luminal"
"FBP1","FBP1",-0.2257,0.2671,-0.4928,"Luminal"
"VGLL1","VGLL1",-0.215,0.2544,-0.4694,"Luminal"
"FAM174B","FAM174B",-0.2088,0.2471,-0.4559,"Luminal"
"TMPRSS2","TMPRSS2",-0.2079,0.246,-0.4539,"Luminal"
"RNF128","RNF128",-0.204,0.2414,-0.4454,"Luminal"
"TBX2","TBX2",-0.2036,0.2409,-0.4445,"Luminal"
"CYP4B1","CYP4B1",-0.1987,0.2351,-0.4338,"Luminal"
"CYP2J2","CYP2J2",-0.1887,0.2233,-0.412,"Luminal"
"CAPN5","CAPN5",-0.1827,0.2162,-0.3989,"Luminal"
"GDPD3","GDPD3",-0.1786,0.2113,-0.3899,"Luminal"
"PPFIBP2","PPFIBP2",-0.1775,0.21,-0.3875,"Luminal"
"GPD1L","GPD1L",-0.175,0.2071,-0.3821,"Luminal"
"GAREM","GAREM",-0.1665,0.197,-0.3635,"Luminal"
"TRAK1","TRAK1",-0.166,0.1965,-0.3625,"Luminal"
"SLC9A2","SLC9A2",-0.1573,0.1862,-0.3435,"Luminal"
"SLC27A2","SLC27A2",-0.1557,0.1843,-0.34,"Luminal"
"TMEM97","TMEM97",-0.1512,0.1789,-0.3301,"Luminal"
"PLEKHG6","PLEKHG6",-0.132,0.1562,-0.2882,"Luminal"
