Sample Name,Target Name,CT
B1,mNectin4,30.553
B1,mNectin4,30.569
U1,mNectin4,Undetermined
U1,mNectin4,Undetermined
B,mNectin4,32.044
B,mNectin4,33.239
U,mNectin4,30.674
U,mNectin4,30.715
B1,mKRT6A,31.015
B1,mKRT6A,30.076
U1,mKRT6A,31.742
U1,mKRT6A,31.971
B,mKRT6A,32.838
B,mKRT6A,32.909
U,mKRT6A,25.430
U,mKRT6A,25.442
B1,mKRT20,30.762
B1,mKRT20,31.956
U1,mKRT20,25.793
U1,mKRT20,25.916
B,mKRT20,33.688
B,mKRT20,34.079
U,mKRT20,26.871
U,mKRT20,26.830
B1,mKRT14,24.146
B1,mKRT14,24.675
U1,mKRT14,27.605
U1,mKRT14,27.718
B,mKRT14,24.344
B,mKRT14,23.873
U,mKRT14,21.398
U,mKRT14,21.279
B1,mGATA3,25.420
B1,mGATA3,25.075
U1,mGATA3,24.977
U1,mGATA3,24.813
B,mGATA3,24.778
B,mGATA3,24.800
U,mGATA3,25.526
U,mGATA3,25.158
B1,mCSF1,25.633
B1,mCSF1,25.847
U1,mCSF1,21.898
U1,mCSF1,22.122
B,mCSF1,23.055
B,mCSF1,23.168
U,mCSF1,23.066
U,mCSF1,22.815
B1,mFOXA1,23.995
B1,mFOXA1,24.373
U1,mFOXA1,28.283
U1,mFOXA1,28.576
B,mFOXA1,24.561
B,mFOXA1,24.658
U,mFOXA1,26.110
U,mFOXA1,26.119
B1,mECAD,24.020
B1,mECAD,23.867
U1,mECAD,30.771
U1,mECAD,31.317
B,mECAD,23.703
B,mECAD,22.764
U,mECAD,25.026
U,mECAD,24.812
B1,mPPARG,26.675
B1,mPPARG,26.386
U1,mPPARG,26.809
U1,mPPARG,26.526
B,mPPARG,26.209
B,mPPARG,26.399
U,mPPARG,26.679
U,mPPARG,26.797
B1,mEPCAM,20.018
B1,mEPCAM,19.986
U1,mEPCAM,36.964
U1,mEPCAM,38.152
B,mEPCAM,20.292
B,mEPCAM,20.592
U,mEPCAM,22.867
U,mEPCAM,22.823
B1,mFABP4,29.967
B1,mFABP4,29.721
U1,mFABP4,25.341
U1,mFABP4,25.252
B,mFABP4,31.304
B,mFABP4,32.529
U,mFABP4,23.641
U,mFABP4,23.973
B1,mGRHL2,26.969
B1,mGRHL2,27.026
U1,mGRHL2,38.232
U1,mGRHL2,38.190
B,mGRHL2,26.790
B,mGRHL2,26.622
U,mGRHL2,28.810
U,mGRHL2,28.824
B1,mGAPDH,17.253
B1,mGAPDH,17.308
U1,mGAPDH,19.103
U1,mGAPDH,18.811
B,mGAPDH,16.787
B,mGAPDH,16.993
U,mGAPDH,18.341
U,mGAPDH,18.240
B1,mACTIN,19.721
B1,mACTIN,19.805
U1,mACTIN,20.505
U1,mACTIN,20.856
B,mACTIN,19.480
B,mACTIN,19.585
U,mACTIN,19.806
U,mACTIN,19.442
